minutes_roll_3,api_shots_total_roll_3,threat_roll_5,element,value,assists_roll_5,creativity_roll_5,bonus_roll_3,goals_conceded_roll_5,creativity_roll_3,ict_index_roll_5,threat_roll_3,influence_roll_5,total_points_roll_5,api_dribbles_attempts_roll_5,api_minutes_roll_5,next_was_home,api_minutes_roll_3,ict_index_roll_3,goals_scored_roll_5,api_key_passes_roll_5,api_goals_roll_3,total_points_roll_3,round,api_dribbles_success_roll_5,api_goals_roll_5,minutes_roll_5,assists_roll_3,influence_roll_3,api_dribbles_attempts_roll_3,api_shots_on_roll_3,api_key_passes_roll_3,goals_conceded_roll_3,api_assists_roll_3,bps_roll_3,api_dribbles_success_roll_3,goals_scored_roll_3,api_assists_roll_5,api_shots_total_roll_5,api_passes_total_roll_3,api_shots_on_roll_5,bonus_roll_5,api_passes_total_roll_5,bps_roll_5,next_opponent_strength,target_points
90.0,0.0,7.0,16,100,0.0,16.4,0.0,0.0,16.4,3.5,7.0,12.0,3.0,8.0,90.0,True,90.0,3.5,0.0,1.0,0.0,3.0,1,3.0,0.0,90.0,0.0,12.0,8.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,7.0,3.0,6.0
71.0,0.5,14.0,16,100,0.0,23.4,0.0,0.0,23.4,6.35,14.0,26.2,4.5,5.0,71.5,False,71.5,6.35,0.5,1.5,0.5,4.5,2,1.5,0.5,71.0,0.0,26.2,5.0,0.5,1.5,0.0,0.0,17.0,1.5,0.5,0.0,0.5,15.5,0.5,0.0,15.5,17.0,4.0,0.0
47.333333333333336,0.3333333333333333,9.333333333333334,16,99,0.0,15.6,0.0,0.0,15.6,4.233333333333333,9.333333333333334,17.466666666666665,3.0,3.3333333333333335,47.666666666666664,True,47.666666666666664,4.233333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,3,1.0,0.3333333333333333,47.333333333333336,0.0,17.466666666666665,3.3333333333333335,0.3333333333333333,1.0,0.0,0.0,11.333333333333334,1.0,0.3333333333333333,0.0,0.3333333333333333,10.333333333333334,0.3333333333333333,0.0,10.333333333333334,11.333333333333334,3.0,0.0
17.333333333333332,0.3333333333333333,7.0,16,98,0.0,11.7,0.0,0.0,10.133333333333333,3.175,7.0,13.1,2.25,2.5,35.75,True,17.666666666666668,3.0666666666666664,0.25,0.75,0.3333333333333333,2.0,4,0.75,0.25,35.5,0.0,13.466666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,9.0,0.0,0.3333333333333333,0.0,0.25,5.0,0.25,0.0,7.75,8.5,4.0,1.0
15.0,0.0,7.0,16,98,0.0,15.819999999999999,0.0,0.0,10.766666666666666,3.44,2.3333333333333335,11.6,2.0,2.6,37.6,False,15.0,1.5,0.2,1.0,0.0,0.3333333333333333,5,1.2,0.2,37.4,0.0,1.8666666666666665,1.0,0.0,0.6666666666666666,0.0,0.0,2.3333333333333335,1.0,0.0,0.0,0.2,8.333333333333334,0.2,0.0,11.2,8.2,3.0,2.0
38.0,0.3333333333333333,11.6,16,98,0.0,14.819999999999999,0.0,0.2,14.566666666666665,3.6599999999999993,12.333333333333334,10.08,1.8,1.8,33.6,True,38.333333333333336,3.033333333333333,0.2,0.8,0.0,1.0,6,1.2,0.2,33.2,0.0,3.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,5.666666666666667,2.0,0.0,0.0,0.4,17.666666666666668,0.4,0.0,13.6,8.8,3.0,8.0
68.0,1.0,13.6,16,98,0.0,13.459999999999999,0.0,0.2,22.433333333333334,3.6799999999999997,22.666666666666668,9.76,2.2,1.8,41.0,False,68.33333333333333,6.133333333333333,0.2,0.8,0.3333333333333333,3.6666666666666665,7,1.2,0.2,40.8,0.0,16.266666666666666,3.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,13.0,2.0,0.3333333333333333,0.0,0.6,26.666666666666668,0.4,0.0,16.0,7.8,3.0,7.0
83.0,1.3333333333333333,22.4,16,99,0.0,29.52,0.6666666666666666,0.2,38.43333333333333,6.74,35.0,15.52,3.6,3.2,59.0,True,83.33333333333333,9.733333333333334,0.2,2.2,0.3333333333333333,5.666666666666667,8,2.4,0.2,58.8,0.0,24.0,4.333333333333333,1.0,3.0,0.3333333333333333,0.0,20.0,3.0,0.3333333333333333,0.0,0.8,32.0,0.6,0.4,24.2,13.4,3.0,3.0
81.66666666666667,1.3333333333333333,23.0,16,100,0.0,29.9,0.6666666666666666,0.2,35.266666666666666,6.88,26.0,15.959999999999999,4.2,3.4,72.2,False,82.0,8.433333333333334,0.2,2.2,0.3333333333333333,6.0,9,2.6,0.2,71.8,0.0,23.266666666666666,3.3333333333333335,0.6666666666666666,3.0,0.0,0.0,19.333333333333332,2.3333333333333335,0.3333333333333333,0.0,1.0,29.666666666666668,0.6,0.4,28.4,15.0,3.0,3.0
81.66666666666667,1.3333333333333333,29.6,16,101,0.0,28.3,0.6666666666666666,0.2,35.5,7.5200000000000005,29.0,17.32,4.6,3.0,81.2,False,82.0,7.8999999999999995,0.2,2.2,0.0,4.333333333333333,10,2.0,0.2,80.8,0.0,14.466666666666669,3.0,1.0,3.0,0.0,0.0,13.0,2.3333333333333335,0.0,0.0,1.4,28.666666666666668,1.0,0.4,28.2,14.2,3.0,12.0
